,window_length,bed_slope,thick_mean,surf_slope,window_id,rgiid
0,67.88275646617927,0.11179855224559127,28.124966,0.029454042679059773,0,RGI60-07.00004
1,75.89523283663391,0.09429936207848046,33.02452,0.039507606400648355,1,RGI60-07.00004
2,72.00054402058343,0.17178371819012025,35.35942,0.1651474521520502,2,RGI60-07.00004
3,48.00036515045976,0.0,35.605247,0.0,3,RGI60-07.00004
4,72.00055143099394,0.0,35.146767,0.0,4,RGI60-07.00004
5,48.00037009078584,0.0,32.337025,0.0,5,RGI60-07.00004
6,101.82416674759823,0.2185795627877179,31.146065,0.2407589777580119,6,RGI60-07.00004
7,86.53390721446151,0.302826646369413,28.47324,0.33371846425735074,7,RGI60-07.00004
8,53.666053799261185,0.5598207383856072,25.096203,0.6036095111584117,8,RGI60-07.00004
9,86.53391603191264,0.3997299530188741,20.191658,0.46117655655353784,9,RGI60-07.00004
0,175.36547802408478,0.14748378707991874,24.034931,0.15276461229913138,0,RGI60-07.00006
1,834.1386158901065,0.185945831391509,41.583218,0.1464024783073611,1,RGI60-07.00006
2,667.7712818694638,0.13032662556827707,89.19157,0.05833696267136109,2,RGI60-07.00006
3,623.1023143809198,-0.07252573546627718,84.318634,0.020860320981547827,3,RGI60-07.00006
4,558.0089554170687,0.05251222244427762,51.34808,0.06621025879060147,4,RGI60-07.00006
5,623.1022628407277,0.06832962607682322,45.33407,0.07528646539336695,5,RGI60-07.00006
6,623.1021856278157,0.07966500819835823,45.027786,0.0736904900659532,6,RGI60-07.00006
7,693.1919219170618,0.06920212032270787,53.622566,0.053325667514863284,7,RGI60-07.00006
8,834.1373694333954,0.04376985088853201,52.643333,0.055090990207087874,8,RGI60-07.00006
9,670.6423935840146,0.08497453815636442,46.47258,0.08922889467649879,9,RGI60-07.00006
10,472.1846874149357,0.15272772846623922,50.801445,0.12847517581517975,10,RGI60-07.00006
0,112.00108381971425,0.36307389480988056,26.88197,0.3190667134054607,0,RGI60-07.00008
1,168.00162609274724,0.18915561226481148,29.738972,0.18821972622647834,1,RGI60-07.00008
2,218.68909783205663,-0.009478568862152793,27.28399,0.013717244547532734,2,RGI60-07.00008
3,140.0013330737993,0.11217416887874132,22.632895,0.1418957215428041,3,RGI60-07.00008
4,168.00157903444762,0.12250261000012964,19.860367,0.13021023290319933,4,RGI60-07.00008
5,170.31892902321036,0.14710502398640113,17.604805,0.13422877191810625,5,RGI60-07.00008
6,168.0015344302494,0.13709664039800792,17.312263,0.15354240209558973,6,RGI60-07.00008
7,170.31888392519593,0.17485248161387337,15.445148,0.18004065076120931,7,RGI60-07.00008
8,170.31886969430934,-0.0030976380016223865,14.482729,0.0,8,RGI60-07.00008
9,170.31886366247272,0.08999189351690302,14.570744,0.10529327377864055,9,RGI60-07.00008
10,39.598330034425516,0.0,12.777881,0.0,10,RGI60-07.00008
0,81.0003708569457,0.56302706801946,19.960442,0.5349530657688293,0,RGI60-07.00010
1,189.00086552462616,0.3763356500977897,22.366863,0.36858972813975127,1,RGI60-07.00010
2,190.91970672194782,0.15798624271294345,23.418694,0.15585967425463743,2,RGI60-07.00010
3,189.00086847285328,0.1949198294799685,21.783665,0.21362036426693914,3,RGI60-07.00010
4,190.9197096982898,0.21550803157483134,20.33743,0.2115371550704107,4,RGI60-07.00010
5,196.56387584020436,0.2089256561403591,21.572006,0.20075501050467331,5,RGI60-07.00010
6,205.6268341473446,0.09214671061162293,16.371708,0.1065844758309951,6,RGI60-07.00010
7,217.68197891318212,0.1413158568157798,15.356702,0.13695301702124973,7,RGI60-07.00010
