,true,predictions
789,0,4.031198e-08
497,0,0.37945792
139,1,0.0049127364
570,0,0.00013573766
66,0,1.5448828e-05
759,0,0.00035816373
799,0,4.241221e-06
613,0,5.0609327e-05
967,0,5.6212404e-05
307,0,0.004077383
440,0,0.09457228
67,0,2.6133112e-06
516,0,0.41982037
644,1,0.41955307
956,0,0.11992157
900,0,2.3039025e-05
76,0,0.0025999004
526,0,0.007210682
533,0,0.0028107385
932,0,1.4046511e-05
874,0,0.27197987
667,0,0.0006405724
442,0,0.080311775
704,0,4.4040462e-07
866,0,0.15219907
411,0,0.0005615301
760,0,0.00017862215
314,0,0.00035520658
359,1,0.7590825
883,1,0.98556536
23,0,0.00035389815
30,0,2.9062203e-05
781,0,4.7244735e-06
693,0,0.00045957
218,0,9.5929274e-05
731,0,1.3230076e-06
88,0,0.010067332
318,0,3.372632e-05
813,0,7.071047e-08
720,0,7.0066435e-06
787,0,5.5825594e-06
773,0,0.00014255496
545,0,1.9620616e-08
215,1,0.93699825
107,0,2.4307054e-05
603,0,0.021044899
845,0,3.8087266e-05
280,0,0.05713151
829,0,0.028461134
327,0,3.7576843e-05
231,0,2.0740501e-05
585,0,0.0008965946
39,0,0.009563237
755,0,4.334532e-05
310,1,0.22076143
261,0,0.0002540251
848,0,0.0003149222
59,0,2.9455905e-05
749,0,0.1780588
136,1,0.012448903
96,0,0.2099893
296,0,0.004890875
920,0,0.00085033104
433,0,1.0532374e-05
259,0,4.4593222e-07
649,0,7.475065e-05
934,0,9.674956e-05
70,0,0.002506338
611,0,3.4014226e-06
309,0,0.01504641
660,0,0.42382273
277,1,0.1511463
685,0,3.0530418e-07
539,0,0.00022363504
168,0,0.93108296
63,1,0.00014700193
810,1,0.0005142642
174,0,1.4861558e-06
591,0,0.03997848
365,0,0.000116485666
462,0,0.022994583
355,0,0.07750499
587,0,0.14101028
828,0,0.00033350763
955,0,4.4949243e-06
499,0,0.3852656
678,0,0.001643677
966,0,3.6859168e-05
312,1,0.9200823
86,0,0.00018556675
275,0,1.1024132e-05
598,0,0.41838485
292,0,0.0063751563
210,1,0.2881955
634,0,0.00048266636
534,1,0.61324656
363,1,0.1555131
352,1,0.00038231487
816,0,2.8556268e-08
629,0,0.0034556296
424,0,5.399543e-05
715,0,5.228097e-06
692,0,0.42316452
712,0,0.00875541
833,0,3.9465526e-06
930,0,0.016897667
976,0,0.06178905
858,1,0.2427098
55,0,0.004659734
513,0,0.026145024
873,0,0.003747298
244,0,1.5560896e-07
72,0,0.007895371
266,1,1.2923803e-05
44,0,0.0016535942
120,1,4.1307932e-05
305,0,4.8194497e-09
616,1,0.87567955
422,0,1.1906803e-06
265,0,0.7966207
490,0,1.2372486e-05
531,0,0.0016003082
630,0,5.035885e-07
666,0,0.03919676
209,0,0.069531314
334,0,0.00023998001
850,0,0.00018118057
633,0,2.2055995e-07
689,0,0.0014486396
199,0,2.885742e-05
495,0,0.000981617
923,0,0.64894
404,0,4.3144486e-05
281,0,2.7203974e-08
60,0,5.1885276e-05
449,0,0.00072038034
423,0,0.0028728913
381,0,0.0002238936
323,1,0.94237137
583,0,0.023504604
158,1,0.0018652137
350,0,0.00012458052
518,0,0.6071311
198,0,0.0016876446
677,0,0.021628447
110,0,0.11500353
445,0,5.502732e-05
464,0,0.013997846
342,0,0.000244931
299,0,0.0015117639
430,0,1.6226696e-06
548,0,1.6633265e-05
896,0,7.425928e-05
405,0,8.4708745e-06
972,0,0.12911841
867,0,0.63541985
184,0,0.011238248
137,0,0.009264914
519,0,0.00090941635
346,0,0.33537376
638,0,3.981969e-05
735,0,0.0010253008
408,0,0.0010473516
618,0,0.00013321711
795,0,9.880732e-07
351,0,4.6876823e-05
580,0,1.40528755e-05
388,0,0.00049622654
465,0,0.0040963152
78,0,0.00078352576
29,0,5.702069e-05
722,0,0.00043088966
235,0,0.07349437
811,0,1.1131089e-07
767,0,9.381046e-06
165,0,0.38737574
552,0,6.009894e-08
439,0,5.389332e-05
65,0,1.9389445e-05
141,0,0.010595828
213,1,0.15654336
380,0,0.00014220929
294,0,0.9633035
653,0,6.158437e-08
739,0,0.010810344
958,0,0.01119897
728,0,2.3623252e-05
820,0,0.2597217
286,0,6.7642344e-05
49,0,1.0225042e-06
714,0,0.0014145054
370,0,0.00025163646
450,1,0.01123489
331,0,5.2734345e-06
886,0,0.23230377
527,0,0.00033846454
482,0,0.0013658961
975,0,0.0013880143
625,0,0.0005282276
931,1,0.99992263
33,0,9.757266e-05
31,0,3.81955e-06
801,0,0.0007465563
192,1,0.8809033
917,0,0.18156758
493,0,2.5287827e-05
237,0,0.040190816
306,0,2.0044092e-06
912,1,0.16744374
290,0,0.9149789
109,0,0.014080378
884,1,0.001191002
77,0,3.143838e-06
506,0,0.0023280273
881,1,0.009821598
82,0,2.4549836e-06
750,0,2.1358941e-05
328,0,0.0007027535
543,0,3.6126632e-05
477,0,0.003075516
652,0,1.890107e-05
752,0,0.00042354767
2,0,3.1347667e-05
101,0,0.00014810287
429,0,0.0065297955
636,0,0.10247889
260,0,1.7985245e-07
208,0,1.7125154e-05
530,0,1.2729898e-05
5,1,0.41874844
54,0,7.6705015e-05
558,0,0.00011111809
854,0,0.050310604
382,0,6.0820355e-07
483,0,4.934226e-05
97,0,0.20239113
595,0,0.30469716
204,0,0.98722094
254,0,0.00020890341
626,0,0.00033873247
941,0,0.00022871507
525,0,0.00015945104
344,0,0.8530536
851,0,6.1170467e-06
25,0,0.00043267148
84,0,8.863404e-05
